iter	RMSE
0	1.093499329
1	1.039046494
2	0.9901016714
3	0.9470251228
4	0.9072245549
5	0.8728834539
6	0.8428283986
7	0.8120207169
8	0.7888817678
9	0.7681204594
10	0.7506410807
11	0.7336675536
12	0.718270776
13	0.7012804769
14	0.6886990446
15	0.6776135223
16	0.6663548694
17	0.6572605909
18	0.6504015128
19	0.640051508
20	0.6344503244
21	0.6294341652
22	0.6236681441
23	0.6190690703
24	0.6129775216
25	0.6087250765
26	0.6050794104
27	0.6013212619
28	0.5971497094
29	0.5908603105
30	0.5883893792
31	0.582221457
32	0.5795356856
33	0.5767076755
34	0.5726759525
35	0.5710109124
36	0.5665648352
37	0.5642472958
38	0.5621371574
39	0.5598119589
40	0.5578384054
41	0.5562341033
42	0.5534387619
43	0.5515896177
44	0.5492530422
45	0.5464622316
46	0.5447537182
47	0.5427427557
48	0.5415698408
49	0.5402958368
50	0.5381141996
51	0.5365851175
52	0.5345203034
53	0.5328103444
54	0.5317171527
55	0.5300206057
56	0.5291640573
57	0.5285916692
58	0.5271043973
59	0.5262038909
60	0.5248097444
61	0.5239403797
62	0.5233550155
63	0.5218812079
64	0.5210018571
65	0.5203206749
66	0.5191902602
67	0.5183429407
68	0.5172584596
69	0.5161558136
70	0.5156337966
71	0.5147707677
72	0.513352855
73	0.5126202806
74	0.5119005312
75	0.5109725251
76	0.5092774741
77	0.5081149927
78	0.5071359125
79	0.506237305
80	0.5052124535
81	0.5042785434
82	0.5032319204
83	0.5023675862
84	0.5012899479
85	0.5003216461
86	0.4995111631
87	0.4986949173
88	0.4979034761
89	0.4973777904
90	0.4964806685
91	0.4956782784
92	0.495074893
93	0.4942047692
94	0.4932987652
95	0.4924078414
96	0.4917546405
97	0.4911381113
98	0.490598317
99	0.4895207322
