iter	Passed	Remaining
0	19	1946
1	28	1376
2	35	1151
3	41	1005
4	49	936
5	55	864
6	61	822
7	69	801
8	76	769
9	83	749
10	89	721
11	97	712
12	102	684
13	107	662
14	114	651
15	120	633
16	126	615
17	131	600
18	137	586
19	143	572
20	148	559
21	155	551
22	161	541
23	166	528
24	172	518
25	178	507
26	228	618
27	256	660
28	264	648
29	271	634
30	292	650
31	302	643
32	309	628
33	316	614
34	324	602
35	330	588
36	337	574
37	343	559
38	349	546
39	355	532
40	362	521
41	367	507
42	374	495
43	379	482
44	385	470
45	391	459
46	397	448
47	405	438
48	410	427
49	416	416
50	423	406
51	428	395
52	435	386
53	442	377
54	451	369
55	457	359
56	462	349
57	470	340
58	476	331
59	482	321
60	488	312
61	493	302
62	498	292
63	503	283
64	508	273
65	514	264
66	518	255
67	524	246
68	531	238
69	537	230
70	544	222
71	549	213
72	555	205
73	561	197
74	566	188
75	571	180
76	580	173
77	587	165
78	593	157
79	600	150
80	608	142
81	615	135
82	620	127
83	626	119
84	632	111
85	638	103
86	643	96
87	649	88
88	657	81
89	664	73
90	673	66
91	679	59
92	684	51
93	692	44
94	699	36
95	706	29
96	711	22
97	719	14
98	725	7
99	729	0
